iter	Passed	Remaining
398	83472	21129
399	83629	20907
400	83794	20687
401	83956	20467
402	84112	20245
403	84262	20022
404	84432	19805
405	84603	19588
406	84772	19370
407	84913	19147
408	85075	18928
409	85221	18707
410	85415	18496
411	85576	18278
412	85779	18069
413	85940	17852
414	86099	17634
415	86275	17421
416	86445	17206
417	86608	16990
418	86780	16776
419	86948	16561
420	87092	16342
421	87261	16128
422	87434	15916
423	87574	15697
424	87731	15482
425	87873	15264
426	88029	15049
427	88174	14833
428	88335	14619
429	88502	14407
430	88666	14194
431	88825	13981
432	88988	13769
433	89140	13555
434	89311	13345
435	89480	13134
436	89649	12924
437	89827	12715
438	89996	12505
439	90153	12293
440	90314	12082
441	90477	11872
442	90638	11662
443	90807	11453
444	90945	11240
445	91090	11028
446	91253	10819
447	91411	10610
448	91587	10403
449	91741	10193
450	91884	9983
451	92040	9774
452	92198	9565
453	92353	9357
454	92509	9149
455	92686	8943
456	92837	8735
457	93001	8528
458	93156	8321
459	93323	8115
460	93489	7909
461	93653	7703
462	93772	7493
463	93901	7285
464	94067	7080
465	94232	6875
466	94380	6669
467	94499	6461
468	94610	6253
469	94775	6049
470	94936	5845
471	95099	5641
472	95253	5437
473	95413	5233
474	95575	5030
475	95723	4826
476	95881	4623
477	96032	4419
478	96197	4217
479	96374	4015
480	96547	3813
481	96736	3612
482	96894	3410
483	97034	3207
484	97196	3006
485	97371	2804
486	97522	2603
487	97707	2402
488	97904	2202
489	98124	2002
490	98349	1802
491	98545	1602
492	98716	1401
493	98893	1201
494	99423	1004
495	99695	803
496	99868	602
497	100032	401
498	100213	200
499	100382	0
