iter	Logloss
125	0.3754693967
126	0.3753557243
127	0.3751848939
128	0.3749983384
129	0.3749366315
130	0.3747895856
131	0.3747205541
132	0.3744879047
133	0.3744061105
134	0.3741677237
135	0.3740079866
136	0.3739409264
137	0.3738977569
138	0.3736737491
139	0.373617071
140	0.3734422754
141	0.3732669729
142	0.3731331167
143	0.37299134
144	0.3728820717
145	0.3727995812
146	0.3727420189
147	0.3725788728
148	0.3725248201
149	0.3724907541
150	0.3723833718
151	0.3722784085
152	0.3721726387
153	0.3720585149
154	0.3719056461
155	0.3717527391
156	0.3716529742
157	0.3716191195
158	0.3714353671
159	0.3713861671
160	0.3712541996
161	0.3711202847
162	0.3708414349
163	0.3707963539
164	0.3707373179
165	0.3706347642
166	0.3705213331
167	0.3704535098
168	0.3703182019
169	0.3702205975
170	0.3701860356
171	0.3700902773
172	0.3700002723
173	0.3699564045
174	0.3698663704
175	0.3697042496
176	0.3695834666
177	0.3694590964
178	0.3693504379
179	0.3692665022
180	0.3691506186
181	0.3690390252
182	0.3689140248
183	0.3687832144
184	0.3686381799
185	0.3685108937
186	0.3684128168
187	0.3683062493
188	0.3682782862
189	0.3681671493
190	0.3680830403
191	0.3679498442
192	0.3679046411
193	0.3679032844
194	0.3677602403
195	0.3676581586
196	0.3675719091
197	0.3675089891
198	0.3674330076
199	0.3673491564
200	0.3672655373
201	0.3672029633
202	0.3670548733
203	0.3670526044
204	0.366930196
205	0.3667544143
206	0.3666464988
207	0.3665521261
208	0.3663849941
209	0.3662583574
210	0.3661859616
211	0.3660267143
212	0.3659393753
213	0.365825173
214	0.3657464899
215	0.3656595321
216	0.3655314803
217	0.3654872397
218	0.3653726018
219	0.3652614001
220	0.3651642526
221	0.3651400302
222	0.365114492
223	0.3650254335
224	0.3649075732
225	0.3647707044
226	0.3646910775
227	0.364631953
228	0.3645185343
229	0.3644115925
230	0.3643885556
231	0.36426722
232	0.3642031559
233	0.364045077
234	0.3639733187
235	0.3638808766
236	0.3638580837
237	0.3638429672
238	0.3637447052
239	0.363629884
240	0.3636078463
241	0.363582297
242	0.3635437614
243	0.363542775
244	0.3634758598
245	0.3634126516
246	0.3633256208
247	0.3632499445
248	0.3632294097
249	0.3631738105
250	0.3630666746
251	0.3630339081
252	0.3629759032
253	0.362901121
254	0.3628608658
255	0.3627945059
256	0.3627188369
257	0.3626263858
258	0.3626051501
259	0.362526612
260	0.3624293635
261	0.3623646296
262	0.3623050648
263	0.3622051298
264	0.3621207501
265	0.3620350302
266	0.3620039723
267	0.361915124
268	0.3618358015
269	0.3618180204
270	0.3618169655
271	0.3617194556
272	0.3617184609
273	0.3616429153
274	0.3616401955
275	0.3615949065
276	0.3615537792
277	0.3615528853
278	0.361476899
279	0.3614471551
280	0.3613967601
281	0.3613106743
282	0.3612652515
283	0.3611480168
284	0.3610403247
285	0.3609954219
286	0.3609309244
287	0.3609114123
288	0.3609076825
289	0.3609070351
290	0.3609061908
291	0.3608687599
292	0.3606802271
293	0.3606783895
294	0.3606493589
295	0.3606028407
296	0.36060205
297	0.3605457906
298	0.3604980021
299	0.3604974835
300	0.3604300939
301	0.3603388184
302	0.3602614023
303	0.3602493346
304	0.3601981507
305	0.3601957155
306	0.3601482497
307	0.3600703945
308	0.3600466791
309	0.360011826
310	0.359971613
311	0.3599313346
312	0.3599160685
313	0.3598794708
314	0.3598131689
315	0.3597395228
316	0.3596577156
317	0.3596416656
318	0.3595435974
319	0.3594850276
320	0.3594143172
321	0.3593343128
322	0.359256754
323	0.3591955167
324	0.3591402047
325	0.3589904431
326	0.3589048116
327	0.3588032263
328	0.358701238
329	0.3586377008
330	0.3586238262
331	0.35853457
332	0.3584369808
333	0.3584321707
334	0.3583352431
335	0.3582664362
336	0.358225979
337	0.3581644755
338	0.3581345259
339	0.358076321
340	0.3580196365
341	0.3579350863
342	0.3578944684
343	0.3578700995
344	0.3578019588
345	0.3576912504
346	0.3576339478
347	0.3576023252
348	0.3574774042
349	0.3574360061
350	0.3573388093
351	0.357237011
352	0.3572188001
353	0.3571834811
354	0.35711701
355	0.3570464982
356	0.3569376836
357	0.3569057612
358	0.3568247595
359	0.3567510228
360	0.3566972755
361	0.3566234542
362	0.356615598
363	0.3565365067
364	0.3564456094
365	0.3563855905
366	0.35632009
367	0.3562448977
368	0.3561651799
369	0.3561476527
370	0.3561249874
371	0.3560426908
372	0.3560344105
373	0.3560338788
374	0.356013607
375	0.3559878404
376	0.3559308166
377	0.3558805571
378	0.3558033037
379	0.3557319457
380	0.355640942
381	0.355587513
382	0.3555247173
383	0.3554824712
384	0.3553954598
385	0.3553235344
386	0.3552796865
387	0.3551829154
388	0.3550725503
389	0.3550214617
390	0.3549546621
391	0.3549460796
392	0.3549088787
393	0.3548698786
394	0.3547978613
395	0.3547938097
396	0.3547867624
397	0.3547681557
398	0.3547008164
399	0.3546595599
400	0.3545813769
401	0.3545114058
402	0.3544783884
403	0.3544293319
404	0.3543488896
405	0.3543115482
406	0.3542890544
407	0.3542565277
408	0.3542357998
409	0.3542278578
410	0.3541754352
411	0.3541067061
412	0.3540351761
413	0.3540085402
414	0.3539919758
415	0.3539839047
416	0.3539270597
417	0.353887768
418	0.3538720918
419	0.3537838651
420	0.3537469257
421	0.3537230361
422	0.353681052
423	0.3536368742
424	0.3535941381
425	0.3535547293
426	0.3535324415
427	0.3535119316
428	0.3534880196
429	0.3534155103
430	0.353338234
431	0.3532684331
432	0.3532452856
433	0.3531644625
434	0.3530670147
435	0.3530156706
436	0.3529597705
437	0.3529147011
438	0.3528478016
439	0.3527892283
440	0.3527243587
441	0.3526925971
442	0.3526558739
443	0.3525940825
444	0.3525457084
445	0.3525391517
446	0.3524828272
447	0.3524292442
448	0.3523874819
449	0.3523870449
450	0.3523322992
451	0.3522905765
452	0.3522561081
453	0.3522101505
454	0.3520917476
455	0.3520342742
456	0.3520203884
457	0.3519633854
458	0.3519414516
459	0.3518938332
460	0.3518106636
461	0.3517820295
462	0.3517443533
463	0.3517292853
464	0.3516829983
465	0.3516518234
466	0.3516423838
467	0.3516281877
468	0.3516235166
469	0.3515933036
470	0.3515702638
471	0.3515489962
472	0.3515407886
473	0.3514959054
474	0.3514478444
475	0.3514366483
476	0.3514099323
477	0.3513956815
478	0.3513454407
479	0.351277199
480	0.351265831
481	0.3512033471
482	0.3511278639
483	0.3511274122
484	0.3510956622
485	0.3510102952
486	0.3509834986
487	0.3509379695
488	0.3508486609
489	0.35072936
490	0.3507162727
491	0.3506850248
492	0.3506479225
493	0.3506436163
494	0.3505692486
495	0.3505549594
496	0.3504877457
497	0.3504738648
498	0.3503901279
499	0.35030966
