iter	Logloss
0	0.6507792311
1	0.6155459222
2	0.589508988
3	0.564640879
4	0.5418277427
5	0.5250632798
6	0.5112963219
7	0.4990829119
8	0.4885072002
9	0.4795148695
10	0.4721412378
11	0.4662022248
12	0.4612330812
13	0.4567036463
14	0.4523361339
15	0.4474008219
16	0.4430844026
17	0.4387785326
18	0.4356565068
19	0.4327125653
20	0.4297501734
21	0.4260815352
22	0.4240970972
23	0.4223124779
24	0.4203533854
25	0.4186586121
26	0.4173467968
27	0.4151707194
28	0.413317464
29	0.4123934571
30	0.4114263315
31	0.4099906886
32	0.4087047354
33	0.407761897
34	0.4060522145
35	0.4052396383
36	0.4046858539
37	0.4037663412
38	0.4024343193
39	0.4008676074
40	0.4002746498
41	0.3997397345
42	0.3992656387
43	0.3983086681
44	0.3975472915
45	0.3970845765
46	0.3965142095
47	0.3958672081
48	0.3950021244
49	0.3939528757
50	0.3934160728
51	0.3928381833
52	0.3924080484
53	0.3921547666
54	0.3913798441
55	0.3911446337
56	0.3905728736
57	0.3900420516
58	0.3896108341
59	0.3891965237
60	0.3888371914
61	0.3885076103
62	0.3882184018
63	0.3879631536
64	0.3875726962
65	0.3872805716
66	0.3867683317
67	0.3865355468
68	0.3863357973
69	0.3859334199
70	0.3855831863
71	0.3853215915
72	0.3850690092
73	0.3848916805
74	0.3846019777
75	0.3843417532
76	0.3841567201
77	0.3837098841
78	0.3834728049
79	0.3832915214
80	0.3831376734
81	0.382705661
82	0.3825028061
83	0.382270281
84	0.3821181234
85	0.3818933421
86	0.3816167009
87	0.3814689228
88	0.3813478098
89	0.3812575423
90	0.381073096
91	0.3809537846
92	0.3807327581
93	0.3805695621
94	0.3803729936
95	0.3801450293
96	0.37995085
97	0.379811645
98	0.3796254706
99	0.3793603549
100	0.3790525612
101	0.3788720542
102	0.3785493287
103	0.3783029497
104	0.3781982927
105	0.3780599093
106	0.3778544139
107	0.3777623289
108	0.3776130799
109	0.3775279051
110	0.3774083227
111	0.3772669634
112	0.3771507029
113	0.3770586638
114	0.3767677779
115	0.3766594918
116	0.3765626964
117	0.376398878
118	0.3762835678
119	0.3762033293
120	0.3760319896
121	0.3758977092
122	0.3757679858
123	0.3756623503
124	0.3755707767
